,claim,claim_veracity
0,People should NOT wear masks while exercising,1
1,The likelihood of shoes spreading COVID-19 is very low,1
2,The coronavirus disease (COVID-19) is caused by a virus NOT by bacteria,1
3,The prolonged use of medical masks* when properly worn DOES NOT cause CO2 intoxication nor oxygen deficiency,1
4,Most people who get COVID-19 recover from it,1
5,Drinking alcohol does not protect you against COVID-19 and can be dangerous,1
6,Thermal scanners CANNOT detect COVID-19,1
7,There are currently no drugs licensed for the treatment or prevention of COVID-19,1
8,Adding pepper to your soup or other meals DOES NOT prevent or cure COVID-19,1
9,COVID-19 is NOT transmitted through houseflies,1
10,Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous,1
11,Drinking methanol ethanol or bleach DOES NOT prevent or cure COVID-19 and can be extremely dangerous,1
12,I heard I can be hurt by online contacts. What are my risks and how I can protect myself online.,1
13,Thermal scanners CANNOT detect COVID-19,1
14,Drinking alcohol does not protect you against COVID-19 and can be dangerous,1
15,Most people who get COVID-19 recover from it,1
16,"The prolonged use of medical masks* when properly worn, DOES NOT cause CO2 intoxication nor oxygen deficiency",1
17,"The coronavirus disease (COVID-19) is caused by a virus, NOT by bacteria",1
18,The likelihood of shoes spreading COVID-19 is very low,1
19,People should NOT wear masks while exercising ,1
20,Studies show hydroxychloroquine does not have clinical benefits in treating COVID-19 ,1
21,Vitamin and mineral supplements cannot cure COVID-19,1
22,Vitamin and mineral supplements cannot cure COVID-19,1
23,Checklist for parents/caregivers and community members,1
24,Checklist for students and children,1
25,How long does #2019nCoV survive on surfaces? ,1
26,Can #2019nCoV be caught from a person who presents no symptoms? ,1
27,How does #2019nCoV spread? ,1
28,Who is at risk of developing severe symptoms from #2019nCoV? ,1
29,Who can catch the #2019nCoV? ,1
30,How dangerous is the #2019nCoV? ,1
31,There are currently no drugs licensed for the treatment or prevention of COVID-19,1
32,Adding pepper to your soup or other meals DOES NOT prevent or cure COVID-19,1
33,COVID-19 IS NOT transmitted through houseflies,1
34,Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous,1
35,"Drinking methanol, ethanol or bleach DOES NOT prevent or cure COVID-19 and can be extremely dangerous",1
36,5G mobile networks DO NOT spread COVID-19,1
37,Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19),1
38,You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life.,1
39,Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease.,1
40,Drinking alcohol does not protect you against COVID-19 and can be dangerous,1
41,COVID-19 virus can be transmitted in areas with hot and humid climates,1
42,Cold weather and snow CANNOT kill the new coronavirus.,1
43,Taking a hot bath does not prevent the new coronavirus disease,1
44,The new coronavirus CANNOT be transmitted through mosquito bites.,1
45,Ultra-violet (UV) lamps should not be used to disinfect hands or other areas of your skin,1
46,You can catch coronavirus in swimming pools,0
47,Spraying chlorine or alcohol on the skin kills viruses in the body,0
48,Only older adults and young people are at risk,0
49,Children cannot get COVID-19,0
