,claim_veracity,claim,topics,speaker,context
0,False,The Annies List political group supports third-trimester abortions on demand.,['abortion'],Dwayne Bohac,ad
2,True,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",['foreign-policy'],Barack Obama,Undefined
3,False,Health care reform legislation is likely to mandate free sex change surgeries.,['health-care'],Blog Posting,news
5,True,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,['education'],Robin Vos,speech
6,False,Jim Dunnam has not lived in the district he represents for years now.,['candidates-biography'],Republican Party Texas,news
9,True,GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,"['energy', 'message-machine-2014', 'voting-record']",Duey Stroebel,social media
10,True,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",['elections'],Robert Menendez,speech
12,False,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","['history', 'state-budget']",Mitt Romney,speech
13,True,The economy bled $24 billion due to the government shutdown.,"['economy', 'federal-budget', 'health-care']",Doonesbury,Undefined
14,False,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,['health-care'],George Will,speech
16,True,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,['federal-budget'],Barack Obama,speech
17,False,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",['federal-budget'],National Republican Congressional Committee,news
19,True,"Almost 100,000 people left Puerto Rico last year.","['bankruptcy', 'economy', 'population']",Jack Lew,speech
20,False,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"['economy', 'income']",Dennis Richardson,speech
21,True,The United States has the highest corporate tax rate in the free world.,"['corporations', 'taxes']",Eric Bolling,speech
22,True,We just had the best year for the auto industry in America in history.,['economy'],Hillary Clinton,speech
24,False,Mitt Romney wants to get rid of Planned Parenthood.,"['abortion', 'federal-budget', 'health-care']",Planned Parenthood Action Fund,speech
25,False,I dont know who (Jonathan Gruber) is.,['health-care'],Nancy Pelosi,speech
26,True,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,"['crime', 'diversity', 'homeland-security', 'terrorism']",Hillary Clinton,speech
28,False,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","['technology', 'terrorism']",Pamela Geller,social media
29,True,Youth unemployment in minority communities is about 40 to 45 percent.,"['diversity', 'economy', 'jobs']",Peter Kinder,speech
30,True,Paul Ryan is still endorsing Trump.,"['candidates-biography', 'elections', 'campaign-advertising']",Hillary Clinton,social media
31,False,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.","['economy', 'labor', 'states', 'unions', 'workers']",Nicholas Kettle,speech
32,False,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"['climate-change', 'energy', 'environment', 'government-regulation']",Shelley Moore Capito,ad
33,True,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,"['small-business', 'taxes']",Rick Scott,speech
34,True,Mark Pryor votes with Obama 93 percent of the time.,"['bipartisanship', 'voting-record']",Tom Cotton,speech
35,True,We have a federal government that thinks they have the authority to regulate our toilet seats.,"['consumer-safety', 'corrections-and-updates', 'government-regulation', 'market-regulation', 'states', 'supreme-court', 'workers']",Ted Cruz,speech
36,True,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"['city-government', 'population']",Lee Leffingwell,speech
37,True,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",['military'],North Korea,speech
38,False,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","['health-care', 'pop-culture']",Walking Dead,news
39,True,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",['debt'],Kelly Ayotte,speech
40,False,U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"['legal-issues', 'supreme-court']",Marco Rubio,speech
