,claim,claim_veracity
0,HYSTERICAL! TODDLERS HIJACK LIVE INTERVIEW With Freaked Out Dad ,0
1," Hillary’s Running Mate Tim Kaine: The NRA Hates Him, And He Kicked Their Butts ",0
2,Democrats win bitter Virginia governor's race in setback for Trump,1
3,"BRITAIN’S THERESA MAY Refuses To Wear Headscarf On Saudi Arabia Visit…Media Compares Her Bravery To Hillary, Michelle Obama…But We Have Pictures That Tell A Different Story",0
4,DR BEN CARSON TARGETED BY THE IRS: “I never had an audit until I spoke at the National Prayer Breakfast.”,0
5,"French Senate vote is blow to Macron, Conservatives keep majority",1
6,COMEY EDITS REVEALED: Clinton Probe Remarks Watered Down…Edited to Omit Criminality,0
7,Death toll in Egypt mosque attack rises to 305 killed: state news agency,1
8,Robert Reich PERFECTLY Breaks Down Trump’s 10-Step Plan For ‘Turning Lies Into Truth’,0
9,FAKE NEWS ALERT! CNN Finally Releases ACTUAL Picture Of Trump Inauguration Crowd…And Proof That Crowd Size For Obama’s 2009 Inauguration Was GREATLY Exaggerated,0
10,Senate Democrats vow to fight any Supreme Court pick not in the 'mainstream',1
11,"Trump-installed consumer agency head sets hiring freeze, halts new rules",1
12," The Vacationer-In-Chief Was Asked To Grade His First Month In Office, And It’s RIDICULOUS",0
13," New Unfiltered Video Shows That Trump Supporters Are, In Fact, F**king Deplorable ",0
14,Argentina Congress suspends pension reform vote due to protests,1
15,Christian Family Kills 41-Year-Old Mom During Attempted Exorcism,0
16,White House says fully committed to draft Senate healthcare bill,1
17,BREAKING NEWS: Facebook Killer Dead…Here Are The Details ,0
18,“GUATEMALAN” MAN DIES After Falling Into WASTE GRINDER At Meat Plant…Former Worker Claims They Hire “90% Illegal Aliens”…Including “10-12 Yr Old Kids”,0
19,Ecuador judge orders arrest of vice president in Odebrecht probe,1
20,"Kenya opposition leader: supporters should boycott polls, hold prayers",1
21,U.S. judge aims to quickly decide lawsuits over DACA,1
22,Trump pulls nearly even with Clinton after Republican convention: Reuters/Ipsos poll,1
23,U.S. congresswoman urges Labor Department to probe Chipotle over wage theft allegations,1
24, fox hosts claim hillary has brain damage because she wears eyeglasses,0
25, Eight Family Members Shot And Killed ‘Execution Style’ In Ohio ,0
26," Trump Running Scared, Cancels Press Conference As Russia Investigation Heats Up",0
27,"U.S. diplomatic delays, Trump agenda snarl Italy's G7 agenda",1
28,CHARLIE DANIELS ON OBAMA’S FINAL YEAR: “Never send a boy to do a man’s job.”,0
29,Inside Kasich's long-shot strategy to beat Trump to the GOP nomination,1
30,Four Breitbart journalists quit after alleged Trump rally assault,1
31,"COMEDIAN TIM ALLEN On Hollywood Hypocrites: They Didn’t Like Trump Because He Was A Bully…But If You Support Trump, You Get Bullied ",0
32,"WORLD FAMOUS DESIGNER Tells Americans To “Deal” With Trump’s: “Mrs. Trump is a very nice woman and pretty handsome. Good body, no? And this Ivanka is…",0
33,BRAVO! CONSERVATIVE ACTOR TOM SELLECK Sets Flag Burner Straight In This Powerful Video,0
34, PA Senator Issues An EPIC Challenge To Trump After He Offers To ‘Destroy’ Someone For A Friend ,0
35,China's Xi says will persist with Korean peninsula denuclearization,1
36,LATINOS MAKE DISGUSTING VIDEOS Bashing TRUMP: “Make America Mexico Again” ,0
37,Philippines' Duterte says to deal with Trump in 'most righteous way',1
38,British PM May's voice repeatedly fails in keynote speech,1
39,SLIPPERY SLOPE? New TWITTER Rules Ban ‘Hateful Conduct’ Promoting Violence,0
40,BREAKING REPORT: CLINTON AND TWO AIDES BROKE NATIONAL SECURITY LAWS,0
41,BREAKING: NYC PROTEST GETS UGLY: Anti-American Protesters BATTLE WITH COPS ,0
42, WAPO: Trump Planning To Go Around Senate To Replace Sessions With A Loyal Stooge,0
43,Two senior Republican senators criticize Tillerson comments on Russia,1
44,House Republicans seek $1 billion in Medicaid funds for Puerto Rico,1
45,HILARIOUS! SATURDAY NIGHT LIVE Mocks Hillary’s Attempt To Ride The Subway In NYC ,0
46,SORRY NANCY! Here’s PROOF Democrats Have NOTHING On Jeff Sessions ,0
47,Ethics review sought after Trump adviser touts Ivanka Trump products,1
48,Putin's close friend: Donald Trump will be next U.S. president,1
49, Kellyanne Conway: Trump Is ‘Gracious’ To Not Prosecute Clinton While Recount Is Underway ,0
50,Senators urge Tillerson to meet with activists in Russia,1
51,Hariri says his Saudi stay was to discuss Lebanon's future,1
52,"Trump not aware of 2016 meeting between son, Russian lawyer: legal spokesman",1
53,China's Xi says peaceful resolution needed for North Korea nuclear issue,1
54, Twitter Throat-Punches Trump After His Latest Stupid Lie About The New York Times ,0
55,CLINTON MEGA-CHARITY: “Slush Fund For The Clinton’s” Took In $140 Million… Gave Pittance In Direct Aid,0
56,Russia sets out why it thinks U.N. wrongly accused Syria over sarin attack,1
57, MAJOR Trump Donor Says Rape is Just ‘Regret’,0
58,CAIR CONTROVERSY After Candidate For Governor Sells ‘ISIS HUNTING PERMIT’ ,0
59,Austria's conservative-far right cabinet likely sworn in Dec. 20: source,1
60,Trump's about-face on fund-raising seems unlikely to dent his popularity,1
61,HYPOCRISY ON STEROIDS: Check Out HATEFUL Trump Bullies In Anti- Bullying Ad For Kids ,0
62,Austrian election tests conservative star stealing far right's thunder,1
63, donald trump literally offers to ‘destroy’ a state senator’s career,0
64, Women’s March Now One Of The Most Peaceful Demonstrations In American History,0
65,About 11.5 million people signed up for Obamacare plans November 1-December 24,1
66,Palestinians switch off Christmas lights in Bethlehem in anti-Trump protest,1
67, CNN Analyst: White Militia Are Not A Threat Because They Are Not ‘Looting Anything’ ,0
68,Obama says cautious about expectations for Syria deal,1
69,MARKET CRASH! Obama’s Speech 3 Days Ago: “Anyone claiming that America’s economy is in decline is lying”,0
70, Texas Pastor Explains How She Can ‘Move Clouds’ – And How You Can Perform Miracles Too ,0
71, Incredibly Sexist Comment At Rally Earns Kasich Some Instant Karma ,0
72,Democrats raise doubts about Trump's high court nominee Gorsuch,1
73,Polish legal experts say Poland can demand German reparations,1
74,HILARIOUS! VIDEO Shows Pattern Of CNN Cutting News Feed When Guests Share Opposing Views,0
75,Canada to take in migrants at 'gradual' pace amid integration concerns,1
76,"Aghast at Iran's Syria gains, Gulf Arabs see potential in Trump",1
77,"At least four dead, 18 missing in Colombia landslide",1
78, Trump Is Being Sued By A Watchdog For Mar-A-Lago Corruption: Will Visitor Logs Show Pay-To-Play?,0
79,NEW YORK MAN SHOCKED To Discover Who Was Stealing His Trump Signs: ‘This is supposed to be the United States’,0
80,Many U.S. Democrats skeptical on chances to reset Netanyahu ties,1
81,Russia protests to U.S. 'shameful' theft of consulate flags,1
82," Whoopi Goldberg FURIOUS Over Trump’s John Lewis Attacks, GOES OFF In PERFECT Pre-Inauguration Rant ",0
83,CAN YOU GUESS Whose Famous Voice Narrates Trump’s First TV Ad? ,0
84,"Refugees in Greece demand transfer to Germany, start hunger strike",1
85,Nigerian army says it repels suspected Boko Haram militant attack,1
86,"TRUMP DELIVERS MESSAGE TO PUTIN: “Russia, If You’re Listening…I Hope You’re Able To Find The 30,000 Emails That Are Missing”",0
87,BOOM! FLORIDA PAPER Makes Unprecedented Apology After “Uncomfortably Sizable Number Of Readers” Complain About Anti-Trump Coverage,0
88,U.S. spy agencies to begin top secret Trump briefings within days,1
89,Catalan bank depositors flock to other regions to open new accounts,1
90,U.S. House Republicans exploring border tax design changes: lawmaker,1
91,"Carrier To Employees: Donald Trump Lied, We’re Still Sending 1,300 Jobs To Mexico",0
92,SHOCKING NEW MOVIE Shows How Easily Islamic Terrorists Can Cross Our Wide-Open Northern Borders,0
93,"Taliban increases influence, territory in Afghanistan: U.S. watchdog",1
94,Irish opposition leader says PM's party preparing for election,1
95,Trump says he hopes North Korea understands gravity of situation,1
96,Sanders says party leaders may 'rethink' after wins,1
97,Trump and Putin shake hands at APEC summit dinner,1
98,Trump's defense chief visits UAE in first Middle East trip,1
99,U.N. chief hopes Trump will strengthen international cooperation,1
100,Treasury's Weiss to be witness at House Puerto Rico hearing: official,1
101," Republicans Turn On Trump, Throw Him Under The Bus For F*cking Up Health Care Plan ",0
102, Senate Democrats FORCE GOP To Reveal How They’ll F*CK Americans Over During Midnight Vote,0
103,"Portugal approves 2018 budget, seeks to trim deficit further",1
104," Donald Trump Just Won A Major Award, And Ted Cruz Is Going To Be Devastated",0
105,ALARMING! THIS STATE’S SCHOOL SYSTEM TO TAKE OVER EVERYDAY PARENTING TASKS,0
106,U.N. calls for pause in air strikes to spare civilians in Syria's Raqqa,1
107,"WATCH OBAMA Admit To Rigged Elections In 2008: “Whenever people are in power, they have this tendency to try to tilt things in their direction.”",0
108,Heavy civilian casualties in Raqqa from air strikes: U.N.,1
109,Republican Jeb Bush ends 2016 presidential campaign,1
110,U.S. State Department questions Gulf motives on Qatar boycott,1
111,Pentagon delivers draft plan to defeat Islamic State to White House,1
112,China pushing billions into Iranian economy as Western firms stall,1
113,"Brexit with no deal risks chaos in drug supply, report warns",1
114, Petition DEMANDING The Electoral College Take Action To Stop Trump Has Just Made History,0
115,US-UK DIRTY WAR: ‘Latin American-style’ Death Squads in Iraq Revealed Through Chilcot,0
116, BREAKING: Dems Celebrate Progressive Win As DNC Old Guard Makes Way For New Faces ,0
117, Trump’s Views On China’s Handling Of Tiananmen Square Will Make You Despise Him Even More,0
118," Hollywood Secretly Made This Trump Movie Starring Johnny Depp, And It’s Amazing ",0
119, Insane Iowa Republicans Literally Want To Let Toddlers Carry Guns,0
120,"VP Pence, in the Baltics, voices support for mutual defense in NATO",1
121, Boeing Reponds To Trump’s Air Force One Tweet: You’re A F**king Idiot,0
122,Hurricane Irma worsens Latin America's fuel supply crunch,1
123,U.S.-backed Syrian militias raise flag in Raqqa stadium,1
124,U.S. Senate plans to vote on FCC chairman tenure this week,1
125,Missouri Democrats filibuster proposed gay discrimination amendment,1
126,Unacknowledged Secret Access Projects: The Black Budget and Military Industrial Complex,0
127, The Latest Delusion From Devin Nunes Will Make You SICK — This Is Exactly Why He Can’t Be Trusted,0
128,Kerry may visit Cuba soon for human rights dialogue,1
129,"BLACK WOMAN ATTACKS Man, His Car, Boat With Hammer…Spits In Wife’s Face: “I’m sick of fancy white people” ",0
130,CNN ANCHOR: Fox Does A ‘Disservice’ To Viewers By TELLING THE TRUTH ,0
131,"UK PM Cameron says Trump policy on Muslims is wrong, will not apologize",1
132,U.S. top court poised to overturn Virginia ex-governor's bribery conviction,1
133, hilarious leaked video shows australian pm mocking trump and it’s now the best thing on the internet,0
134,Obama Joins Comedy Central Host to Push ‘Laughable’ Establishment Conspiracy Theory on DNC Leaks,0
135,Tavis Smiley Drops A Truth Bomb About Obama And The Black Community ,0
136, Rick Scott Was So Butthurt By The Woman Who Called Him An A-Hole He Released This Attack Ad ,0
137,BREAKING: PROTESTER JUMPS ON STAGE…Grabs Trump…Secret Service REACTS…Trump Reaction Is PRICELESS ,0
138,Trump asked Comey to end investigation of Michael Flynn: source,1
139,Turkey seeks arrest of 360 people in probe targeting Gulen network in army: media,1
140,"Obama, Argentina's Macri discuss Brazil's political crisis",1
141,Yemen 'dismayed' by Trump's immigration order: official,1
142, trump blames puerto ricans for recovery effort problems while giving himself an a+,0
143,Nominee for U.S. Army secretary warns about impact of further troop cuts,1
144,MARYLAND COUNCILWOMAN Who Struggles To Formulate Coherent Sentence Calls Trump “RETARDED”…Compares Him To Kids At Disability Center ,0
145,Yemen Houthis say have shot down U.S. surveillance drone - state news agency,1
146,Illinois governor undeterred by court ruling in union dues fight,1
147, DELUSIONAL OBAMA: I’VE RESTORED THE US AS THE ‘MOST RESPECTED COUNTRY IN THE WORLD’,0
148, Trump Brags About How Powerful America’s Nuclear Arsenal Is In Scary Twitter Post,0
149,THE LOST VIDEO: Watch MSNBC’S Mika Shamelessly Flirt With Donald Trump ,0
150,"Suicide attacks on restaurants, checkpoint, kill 60 in southern Iraq",1
151,Two-thirds of U.S. voters say they back some gun control: Reuters/Ipsos poll,1
152,"Danish PM's party dealt blow at local election, Social Democrats gain",1
153, Desperate Republicans Meet With Romney To Discuss Independent Run,0
154, countries which have expelled north korean ambassadors after nuclear test,1
155,Indonesia president nominates air chief to replace controversial military head,1
156,"Canadian says child killed, U.S. wife raped during Afghan kidnapping",1
157,Ousted Catalan leader calls for united front for independence,1
158,Poland's new PM sees punishment from Brussels coming,1
159, The Media TOTALLY Missed This Horrifying Trump Confession ,0
160," Woman Gatecrashes Own Funeral, To Great Surprise Of Husband Who Hired Hitmen To Kill Her ",0
161,FBI got court order to monitor ex-Trump adviser in Russia probe: Washington Post,1
162,Ex-N.Y. legislative leader Silver sentenced to 12 years in prison,1
163,"NEW VIDEO Of United Airlines Passenger Emerges: “I won’t go…You can drag me, I’m not going…I’m staying right here…I tell you…make a lawsuit against United Airlines”",0
164,HILARIOUS! WATCH What Happens When Campus Cops Try To Kick “Students For Trump” Off Campus For Building Trump Wall ,0
165, cnn host rips kellyanne conway a new one for not taking russian hack seriously,0
166,Exclusive: U.S. plans new wave of immigrant deportation raids,1
167,Philadelphia congressman orchestrated series of frauds: prosecutor,1
168,"Leaked G20 Video Appears To Show Trump Rubbing Putin’s Back At First Meeting, World Gags",0
169,Pro-independence parties want Catalan parliament to discuss independence on Monday: report,1
170,Vatican prepared in case of Barcelona-style attack: Swiss Guard chief,1
171,"Republican Senators McCain, Sasse oppose Trump's U.S. trade representative pick",1
172, cnn host fareed zakaria roasts trump for embarrassing press conference with netanyahu,0
173,VIRAL VIDEO: MAN CALLS OUT BLACK LIVES MATTER For Not Helping Louisiana Flood Victims,0
174,"BRITISH MUSICIAN Says If He Was Given The Chance, He’d Kill Donald Trump…Blames Press For Making Him President",0
175,THIS BIG ANNOUNCEMENT IS YET ANOTHER REASON NOT TO VOTE FOR HILLARY CLINTON,0
176,Twitter Gold: Trump Announces Hysterical Nickname for Kim Jong un ,0
177,3.57 Degrees: Kevin Bacon’s Cultural Mantle Shattered By Zuckerberg,0
178,AMERICAN SERVICEMEN ‘Sing God Bless America’ At World Series Game…The Left Goes Ballistic,0
179, Obama Just Warned Trump: Don’t Attack My Wife Or There Will Be Hell To Pay,0
180,U.S. takes 'full responsibility' for Manchester intelligence leaks:  Tillerson,1
181,"Trump, as Comey takes spotlight, vows to stay strong and fight",1
182,Exclusive: Philippines defied experts' advice in pursuing dengue immunization program,1
183," Here’s How Trump Is Going To F*CK Us Into WWIII, And It Doesn’t Actually Start In The Middle East",0
184,Exclusive: U.S. consumer finance agency lawyer sides with Trump over succession - sources,1
185, President Obama Slams Republicans For Toying With American Lives By Blocking Zika Funding ,0
186, pat robertson gets incredibly offensive in full-throated defense of trump,0
187, These Ladies Just Created The Most Adorable Song EVER For Hillary ,0
188, The Washington Post NAILS Hannity For Lying About Trump Rescuing Marines,0
189, MSNBC BRILLIANTLY Smacks Offended Trumpkins Who Want Colbert Fired For A Joke ,0
190,Senators want Congress to OK military action in Syria,1
191,Pennsylvania gun control advocates challenge law on city gun rules,1
192, Watch How Absurd A Gun Nut Looks Defending U.S. Gun Violence On A UK TV Show ,0
193, Brokeback Bundy: Hilarious Hashtag Mocks What The Militia Is Getting Up To In The Woods,0
194,Ukraine president: reforms to get harder as elections approach,1
195,Kremlin says U.S. closure of consulate fuels U.S.-Russia tensions,1
196,Catalan parliament speaker to appear before Spain's Supreme Court,1
197,LORETTA LYNCH Gives Radical Black Lives Matter Protesters PEP TALK: “I want you to know that your voice is important”,0
198,"U.N. to move 10,000 migrants from Libya in 2018",1
199,Soyinka shreds U.S. greencard in anger over Trump victory,1
200,Japan detects radio signals pointing to possible North Korea missile test: source,1
201, Nixon’s Counsel During Watergate CALLS OUT Trump Administration: They’re ‘In Cover-Up Mode’,0
202,Bush-era FTC official is Trump favorite for chief: source,1
203,U.S. lawmaker's controversial tweet on immigration draws fire,1
204," GOP Runs Out Of Good Things To Say About Trump: ‘He’s An Asshole, But He’s Our Asshole’",0
205,"Mexico's Pena Nieto says disaster funds limited, need to rework budget",1
206,"Uzbekistan drops use of students, teachers, nurses as cotton-pickers: PM",1
207, Chris Hayes Epically Trolls Trump’s Monumentally Stupid Post About Trumpcare ,0
208, What Twitter Just Did To Right-Wingers Makes Them Look Even More Like Terrorists ,0
209,Turkey's Erdogan calls on United States to step back from Jerusalem move,1
210, bill maher hammers trump in final plea to voters on fallon,0
211,"House Republicans launch probes of Clinton emails decision, uranium deal",1
212,Sri Lanka arrests Buddhist monk after protest against Rohingya Muslims,1
213,Here’s Why Conservatives Are Silent About 2016 Cop Killer Data,0
214,Arkansas lawmaker wants to strip Clintons' name from airport,1
215,BREAKING VIDEO: Clinton Can’t Explain Discrepancy About When She Started To Use Private Server,0
216, Wife Of Pastor Freed In Iran Just Demolished The Right-Wing Criticism Of Obama’s Actions ,0
217,Hillary Clinton Ponders Halloween Costume,0
218,"How Is Panama’s “Migrant Crisis” Giving A FREE PASS TO THE U.S. To Anyone From Asia, Cuba, Africa, Haiti…When Did We Become The World’s Dumping Ground?",0
219,U.S. Senate moves Jeff Sessions toward confirmation as attorney general,1
