,claim,claim_veracity
0,The Chainsmokers made a single that got to number one.,1
1,Reba McEntire is an actor.,1
2,Fictional character Sterling Archer is the main character of a comedy series called Archer.,1
3,Steve Mouzakis was in the cast of a 2014 Australian thriller film.,1
4,Alexandra Burke was on the fifth series of The X Factor.,1
5,Judd Apatow was incapable of producing Anchorman: The Legend of Ron Burgundy.,0
6,Unforgettable is a film from America.,1
7,Treasure was performed on the radio.,1
8,Lymelife is seem from the perspective of an adult only.,0
9,Christine Daaé is from a novel.,1
10,Ecuador includes the Galapagos Islands in the Atlantic.,0
11,Bal Gangadhar Tilak was a squid.,0
12,Lady Gaga has missed out on all opportunities to win a Grammy Award.,0
13,Ellen Burstyn is the winner of two Emmy Awards.,0
14,Alan Rickman passed away when he was 69.,1
15,Passengers grossed $0.,0
16,Kathy Bates played a major role in Fried Green Tomatoes.,1
17,YouTube is headquartered in Paris.,0
18,World War II did not take place from 1939 to 1945.,0
19,No part of the Ozarks is in Arkansas.,0
20,Fernando Alonso's birth month is July.,1
21,Vladimir Putin studied rest in high school.,0
22,Kumkum Bhagya is a contemporary artist.,0
23,Whitney Houston starred in a Forest Whitaker film.,1
24,License to Drive stars Carol Kane.,1
25,Hawaii Five-0 is broadcast on CBS.,1
26,The nickname of Joseph Barbera is Joe.,0
27,Twitter had more than 40 million election-related tweets during the 2016 election.,1
28,Phantoms is adapted from a 2017 novel.,0
29,KFC expanded to Asia by the mid-1960s.,0
30,"Charles, Prince of Wales was the first grandchild of King George VI.",1
31,Chris Evans worked for Piccadilly Radio.,1
32,The Magna Carta pledged to give access to timely justice.,1
33,Ji Chang-wook is Asian.,1
34,Sepsis rates have been increasing.,1
35,Rock music originated in the United States.,1
36,Conan O'Brien only performs in New York City.,0
37,Ireland is a peninsula.,0
38,A Song of Ice and Fire is by George R.R. Martin and he is American.,1
39,Naomi Watts was in a film directed by Tom Tykwer.,1
40,Tyrion Lannister only features in stand-alone novels.,0
41,Lebanon's capital is Beirut.,1
42,Haitian Creole is based on a language in the Indo-European family.,1
43,Socrates was a practicer of philosophy.,1
44,Ron Swanson has yet to marry.,0
45,In the Odyssey events and choices are not influenced by women and slaves.,0
46,"The Avengers (2012 film) includes, prominently, Chris Evans.",1
47,Monica Seles's final professional match was at the second Grand Slam event of 2003.,1
48,"FC Barcelona was formed by a group of local, Swiss, and English players.",1
49,Arnold Schwarzenegger served two terms as California's governor.,1
50,Tom Felton was not in Anna and the King.,0
51,Gold is ductile.,1
52,Alandi is a city council.,1
53,12 Years a Slave was a movie produced by Brad Pitt.,1
54,Josh Homme has been involved with numerous projects.,1
55,The animated film The Incredibles came in second for the Annie Award for Best Animated Feature.,0
56,Vladimir Putin was not a KGB Foreign Intelligence Officer for 16 years.,0
57,The Matrix was released in 1999.,1
58,Roger Moore died in May of 1944.,0
59,The second album by Elton John shares his name.,1
60,Darius Rucker is Hootie & the Blowfish's lead vocalist.,1
61,The Prestige is a 2006 British-American mystery thriller film directed by Christopher Nolan.,1
62,Jessica Chastain made her Broadway debut in a revival of a 1811 play.,0
63,Don Henley has released a live CD.,0
64,"Bruce Springsteen's sisters are Evan James, Jessica Rae, and Sam Ryan.",0
